Order,Family,Genus,Species,spawningMode,FemaleSize_mm,sizeType,eggSize_mm,typeOfWork_eggSize,timeToEggMeasurement_months,Location,Date,sampleSize,Fertilized,Live,Latitude,Longitude,ReferencePdf,lnSize,lnEggSize,absLatitude
Clupeiformes,Clupeidae,Sardinops,Sardinops sagax,pelagic,NA,,1.6,,NA,"Monterey Bay, California, United States",1929-1932,,TRUE,TRUE,36.811606,-121.84771,scofield_ec_1934_c41_1.pdf,NA,0.470003629,36.811606
Clupeiformes,Clupeidae,Sprattus,Sprattus sprattus,pelagic,NA,,0.98,,NA,South-west coast of the Isle of Man,1993 April,,TRUE,FALSE,54.090349,-4.802769,bal_dv_1943_j11b_54.pdf,NA,-0.020202707,54.090349
Clupeiformes,Clupeidae,Sprattus,Sprattus sprattus,pelagic,NA,,0.95,,NA,South-west coast of the Isle of Man,1993 May,,TRUE,FALSE,54.090349,-4.802769,bal_dv_1943_j11b_54.pdf,NA,-0.051293294,54.090349
Clupeiformes,Clupeidae,Sprattus,Sprattus sprattus,pelagic,NA,,0.91,,NA,South-west coast of the Isle of Man,1993 June,,TRUE,FALSE,54.090349,-4.802769,bal_dv_1943_j11b_54.pdf,NA,-0.094310679,54.090349
Clupeiformes,Clupeidae,Sprattus,Sprattus sprattus,pelagic,NA,,0.89,,NA,South-west coast of the Isle of Man,1993 July,,TRUE,FALSE,54.090349,-4.802769,bal_dv_1943_j11b_54.pdf,NA,-0.116533816,54.090349
Clupeiformes,Engraulidae,Anchoa,Anchoa mitchilli,pelagic,NA,,0.84,,NA,Long Island Sound USA,1952 March - 1954 March,,TRUE,FALSE,41.103919,-72.908416,wheatland_sb_1956_b15_234.pdf,NA,-0.174353387,41.103919
Clupeiformes,Engraulidae,Anchoa,Anchoa mitchilli,pelagic,NA,,0.7,Field,NA,"Off Beaufort, NC, USA",1913 June - August,,FALSE,TRUE,34.685104,-76.675192,kuntz_a_1913_b33_1.pdf,NA,-0.356674944,34.685104
Clupeiformes,Engraulidae,Anchoa,Anchoa mitchilli,pelagic,NA,,0.86,,NA,Long Island Sound USA,1954 July - August,854,TRUE,TRUE,41.103919,-72.908416,richards_sw_1959_b17_95.pdf,NA,-0.15082289,41.103919
Clupeiformes,Engraulidae,Anchoa,Anchoa mitchilli,pelagic,NA,,0.875,,NA,Long Island Sound USA,1955 June - August,1377,TRUE,TRUE,41.103919,-72.908416,richards_sw_1959_b17_95.pdf,NA,-0.133531393,41.103919
Clupeiformes,Engraulidae,Cetengraulis,Cetengraulis mysticetus,pelagic,NA,,1.166,,NA,"Gulf of Panama, Panama",1956 September - 1957 January,,TRUE,TRUE,8.780003,-78.874387,simpson_jg_1959_i3_441.pdf,NA,0.153579088,8.780003
Clupeiformes,Engraulidae,Cetengraulis,Cetengraulis mysticetus,pelagic,NA,,1.151,,NA,"Isla Chepillo, Panama to Punta Mangle, Venezuela",1956 October,60,TRUE,TRUE,12.415685,-71.832644,simpson_jg_1959_i3_441.pdf,NA,0.14063113,12.415685
Clupeiformes,Engraulidae,Cetengraulis,Cetengraulis mysticetus,pelagic,NA,,1.129,,NA,"Isla Chepillo, Panama to Punta Mangle, Venezuela",1956 October,54,TRUE,TRUE,12.415685,-71.832644,simpson_jg_1959_i3_441.pdf,NA,0.121332285,12.415685
Clupeiformes,Engraulidae,Cetengraulis,Cetengraulis mysticetus,pelagic,NA,,1.146,,NA,"Isla Chepillo, Panama to Punta Mangle, Venezuela",1956 October,59,TRUE,TRUE,12.415685,-71.832644,simpson_jg_1959_i3_441.pdf,NA,0.136277618,12.415685
